time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1983-06-20 00:28:36.140000+00:00,39.915,42.095,10.0,4.6,1.2,6.0,0.07944208188850024,16.0,1983,6,20,0
1983-10-03 11:15:05.190000+00:00,37.232,43.665,10.0,4.6,1.1,11.0,0.2703730292114929,105.0,1983,10,3,11
1983-10-30 04:12:27.130000+00:00,40.33,42.187,11.6,6.8,1.1,23.0,0.06274172092019936,26.0,1983,10,30,4
1983-10-30 05:26:24.750000+00:00,40.711,42.313,10.0,4.5,1.4,7.0,0.06797383582347334,0.0,1983,10,30,5
1983-10-30 12:40:22.850000+00:00,40.337,42.171,17.0,5.3,1.0,45.0,0.04758785312450466,0.0,1983,10,30,12
1983-11-01 18:03:25.590000+00:00,40.399,42.296,10.0,4.7,1.2,8.0,0.04360327668970733,2.0,1983,11,1,18
1983-11-02 00:15:16.120000+00:00,40.231,42.166,10.0,4.7,1.4,13.0,0.0022051326760304745,0.0,1983,11,2,0
1983-11-02 00:24:20.180000+00:00,40.271,42.05,10.0,4.8,1.1,23.0,0.08839907920335534,0.0,1983,11,2,0
1983-11-02 14:56:00.750000+00:00,40.152,41.836,10.0,4.5,1.1,7.0,0.06606296853159599,0.0,1983,11,2,14
1983-11-09 03:51:00.990000+00:00,42.478,45.326,33.0,4.5,1.1,12.0,0.030093162947008506,6.0,1983,11,9,3
1983-11-18 01:15:35.670000+00:00,39.781,39.463,27.1,5.0,1.1,56.0,0.013426889866079131,8.0,1983,11,18,1
1983-12-17 00:14:24.860000+00:00,41.176,44.118,33.0,4.6,1.3,11.0,0.14507006272143233,28.0,1983,12,17,0
1984-01-19 09:21:34.630000+00:00,41.38,43.73,33.0,4.5,1.3,8.0,0.06752973357009984,33.0,1984,1,19,9
1984-01-30 05:58:25.790000+00:00,42.904,45.549,33.0,4.7,1.3,9.0,0.36474599720121653,10.0,1984,1,30,5
1984-02-12 04:54:48.470000+00:00,40.743,41.938,10.0,4.8,0.9,1.0,0.06082814344504724,12.0,1984,2,12,4
1984-03-04 10:01:34.740000+00:00,43.058,45.49,33.0,5.2,1.2,4.0,0.49890648149110844,21.0,1984,3,4,10
1984-03-04 14:51:06.750000+00:00,42.997,45.565,33.0,4.8,1.3,19.0,0.45877650478842485,0.0,1984,3,4,14
1984-03-04 19:24:46.160000+00:00,43.07,45.614,33.0,5.3,1.2,72.0,0.5417690497730494,0.0,1984,3,4,19
1984-03-07 23:29:32.240000+00:00,38.981,43.212,10.0,4.6,1.3,8.0,0.13781346797029434,3.0,1984,3,7,23
1984-03-11 23:58:22.790000+00:00,43.359,41.078,10.0,4.8,1.2,48.0,0.029908054538358448,4.0,1984,3,11,23
1984-03-12 19:58:10.360000+00:00,42.983,45.429,33.0,4.7,1.0,14.0,0.41095430715845155,0.0,1984,3,12,19
1984-03-25 02:44:58.120000+00:00,38.488,45.231,33.0,4.5,1.3,5.0,0.007012310208906497,12.0,1984,3,25,2
1984-03-27 01:21:20.810000+00:00,42.981,45.653,33.0,4.7,1.2,13.0,0.46547027315125267,1.0,1984,3,27,1
1984-04-26 22:36:01.950000+00:00,43.132,45.992,33.0,4.6,1.0,8.0,0.7158702620586999,30.0,1984,4,26,22
1984-06-29 19:55:17.150000+00:00,38.388,45.167,33.0,4.6,1.1,21.0,0.07436390451319458,63.0,1984,6,29,19
1984-07-04 21:25:54.490000+00:00,42.781,41.139,33.0,4.7,1.0,15.0,0.3119866114809812,5.0,1984,7,4,21
1984-08-24 11:31:41.680000+00:00,38.46,45.943,10.0,4.9,1.2,5.0,0.14560388994412957,50.0,1984,8,24,11
1984-09-02 01:15:57.220000+00:00,42.506,48.853,33.0,4.6,0.9,3.0,1.348528708608266,8.0,1984,9,2,1
1984-09-18 13:26:01.880000+00:00,40.885,42.219,10.0,5.5,1.2,23.0,0.0035302826087053505,16.0,1984,9,18,13
1984-09-30 15:33:19.460000+00:00,37.87,48.966,33.0,4.5,1.5,8.0,0.07677391101839555,12.0,1984,9,30,15
1984-10-17 14:16:06.310000+00:00,40.869,42.702,33.0,4.7,0.8,6.0,0.003681825195827626,16.0,1984,10,17,14
1984-10-17 20:45:04.640000+00:00,40.848,42.442,33.0,4.5,0.9,12.0,0.03694152094678877,0.0,1984,10,17,20
1984-10-18 09:46:24.610000+00:00,40.545,42.403,60.2,5.4,1.1,23.0,0.08178437575828554,0.0,1984,10,18,9
1984-10-19 12:59:58.370000+00:00,40.589,42.222,10.0,4.6,1.2,7.0,0.0826647847129594,1.0,1984,10,19,12
1984-10-21 18:04:26.920000+00:00,40.723,42.452,32.1,4.7,1.2,43.0,0.023338488584001123,2.0,1984,10,21,18
1984-10-26 15:08:04.270000+00:00,40.401,41.57,64.1,4.6,0.9,22.0,0.0439783813424823,4.0,1984,10,26,15
1984-12-03 07:38:10.340000+00:00,37.971,43.147,35.6,5.7,1.1,2.0,0.3071524038286697,37.0,1984,12,3,7
