time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1981-08-04 18:35:41.270000+00:00,38.072,49.34,0.3769230769230769,1.0,0.9,6.0,0.2102929244606449,0.054375745489668025,1981,8,4,18
1981-08-04 18:51:53.870000+00:00,38.24,49.501,0.46923076923076923,0.0,0.8,4.0,0.291560802671757,5.0228398121607886e-05,1981,8,4,18
1981-08-05 00:13:51.570000+00:00,38.369,49.554,0.46923076923076923,0.09090909090908994,0.9,2.0,0.3121251362575579,0.0009976322500450181,1981,8,5,0
1981-10-18 05:22:28.300000+00:00,43.257,45.308,0.46923076923076923,1.0,1.2,3.0,0.3896021824806431,0.331143688995129,1981,10,18,5
1981-10-18 18:17:59.930000+00:00,43.262,45.429,0.46923076923076923,0.0,1.1,3.0,0.4114255556110266,0.002403052885962732,1981,10,18,18
1981-10-19 05:49:51.080000+00:00,43.515,45.537,0.46923076923076923,0.09090909090908994,1.0,4.0,0.5797999258960752,0.00214377808830535,1981,10,19,5
1981-10-20 14:11:36.170000+00:00,43.243,45.394,0.46923076923076923,0.18181818181818166,0.9,7.0,0.3935559522661609,0.006016722232895083,1981,10,20,14
1981-11-19 14:10:35.810000+00:00,40.734,49.193,0.46923076923076923,0.45454545454545414,1.2,33.0,0.04391368871899071,0.133856648308757,1981,11,19,14
1981-11-29 23:37:32.640000+00:00,40.836,48.078,0.6492307692307694,0.545454545454545,1.1,42.0,0.023667517689636982,0.04637666754795832,1981,11,29,23
1981-12-02 00:51:36.350000+00:00,40.926,48.09,0.46923076923076923,0.545454545454545,1.2,45.0,0.06228070547244486,0.009153472784732481,1981,12,2,0
1981-12-04 02:35:36.750000+00:00,40.865,48.325,0.46923076923076923,0.18181818181818166,1.4,15.0,0.0627641417673866,0.009246260015475967,1981,12,4,2
1982-01-01 19:30:24.150000+00:00,37.211,42.559,0.11538461538461539,0.18181818181818166,1.4,8.0,0.35385885696795333,0.12808021520006518,1982,1,1,19
1982-01-20 08:25:41.720000+00:00,40.232,47.814,0.46923076923076923,0.2727272727272725,0.7,24.0,0.20693131944968765,0.08271818608300881,1982,1,20,8
