time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour,depth_augmented,mag_augmented,Distance_to_Nearest_Fault_augmented,TimeToNext_augmented
1980-07-11 12:33:25.700000+00:00,38.425,40.897,0.1153846153846153,0.4545454545454541,1.061875,23.0,0.0453484461067908,0.0,1980,7,11,12,0.11847535681445864,0.4568579429961676,0.04717884324119927,0.002407458724478566
1980-09-05 21:09:51.800000+00:00,42.507,44.858,0.4692307692307692,0.0,1.061875,23.0,0.0188069962407248,0.2514717907039107,1980,9,5,21,0.46689525834079965,0.005638356686891113,0.021586532506192493,0.2512229122124101
1980-10-10 11:09:52.100000+00:00,38.315,45.77,0.4692307692307692,0.1818181818181816,1.061875,23.0,0.0166027259366878,0.1543105785069749,1980,10,10,11,0.471120457994669,0.18206765511697717,0.016430543608310217,0.15437703641440217
1980-10-18 03:14:10+00:00,39.851,40.254,0.5000000000000001,0.4545454545454541,1.061875,23.0,0.0584603058224698,0.0342219255805353,1980,10,18,3,0.5011326389993909,0.45015474685986295,0.059318040019101965,0.0338835343190651
1980-12-11 00:14:41.100000+00:00,40.22,45.88,0.9153846153846156,0.2727272727272725,1.061875,23.0,0.0219228024486203,0.2403914349986037,1980,12,11,0,0.906607859127336,0.2869212749033194,0.02351439461326445,0.24351719958976337
1980-12-29 21:53:04+00:00,38.609,45.019,0.4692307692307692,0.0909090909090899,1.061875,23.0,0.050471196531403,0.084339032114695,1980,12,29,21,0.46604014283635553,0.08555608543590806,0.05367388245642553,0.08237056046201877
1981-01-04 07:19:45.600000+00:00,38.443,44.842,0.4692307692307692,0.1818181818181816,1.061875,23.0,0.0695170828636468,0.0240659201008701,1981,1,4,7,0.4670835724256453,0.18032161780995803,0.07058463881286238,0.025172803412908368
1981-02-23 04:06:39.580000+00:00,41.793,45.975,0.4692307692307692,0.545454545454545,1.1,52.0,0.016563965810801,0.2225012673865322,1981,2,23,4,0.47264487678743183,0.5395469454463184,0.0154626110239629,0.21981345867536328
1981-04-13 19:41:39.990000+00:00,39.917,40.623,0.1153846153846153,0.0,0.9,5.0,0.0219353294806196,0.2215348344806751,1981,4,13,19,0.11975986856476327,0.0013562984014380006,0.0214223764640202,0.22311410765873282
1981-05-12 17:43:03.470000+00:00,42.83,45.765,0.4692307692307692,0.545454545454545,0.9,59.0,0.2130721901080298,0.1290302518339506,1981,5,12,17,0.4657770969063808,0.5299161986726514,0.21739982285873624,0.12858140528934348
1981-05-24 22:07:06.790000+00:00,38.44,45.266,0.4692307692307692,0.0909090909090899,1.2,12.0,0.0234168844058691,0.0543621095589256,1981,5,24,22,0.4675766679712844,0.09103058111860235,0.022212560074705096,0.057803350660201
1981-07-23 14:07:13.910000+00:00,37.314,45.257,0.4692307692307692,0.0909090909090899,1.3,4.0,0.2627925705459165,0.2662325679855106,1981,7,23,14,0.4702058859118952,0.09757980506743465,0.2643182373828453,0.26803434289236544
1981-08-04 18:35:41.270000+00:00,38.072,49.34,0.3769230769230769,1.0,0.9,6.0,0.2102929244606449,0.054375745489668,1981,8,4,18,0.3782727760675306,0.9992337342103156,0.21482820726504973,0.05727145591728103
1981-08-04 18:51:53.870000+00:00,38.24,49.501,0.4692307692307692,0.0,0.8,4.0,0.291560802671757,5.0228398121607886e-05,1981,8,4,18,0.4760924585190384,-0.008196562462601793,0.2914461552427757,-0.004273402797819744
1981-08-05 00:13:51.570000+00:00,38.369,49.554,0.4692307692307692,0.0909090909090899,0.9,2.0,0.3121251362575579,0.000997632250045,1981,8,5,0,0.46347374224509363,0.09072588774035989,0.3182279846939207,0.0040127904271684
1981-10-18 05:22:28.300000+00:00,43.257,45.308,0.4692307692307692,1.0,1.2,3.0,0.3896021824806431,0.331143688995129,1981,10,18,5,0.4646216246488251,1.0029077240711948,0.38727569404068724,0.3356605532606208
1981-10-18 18:17:59.930000+00:00,43.262,45.429,0.4692307692307692,0.0,1.1,3.0,0.4114255556110266,0.0024030528859627,1981,10,18,18,0.47051076296849503,0.006205150370971518,0.41350636976136007,0.0009627476737695145
1981-10-19 05:49:51.080000+00:00,43.515,45.537,0.4692307692307692,0.0909090909090899,1.0,4.0,0.5797999258960752,0.0021437780883053,1981,10,19,5,0.4739317620147394,0.08184125735427746,0.5807176293457773,0.0019306060140270186
1981-10-20 14:11:36.170000+00:00,43.243,45.394,0.4692307692307692,0.1818181818181816,0.9,7.0,0.3935559522661609,0.006016722232895,1981,10,20,14,0.4733731521202206,0.18874073673801997,0.3964323770286989,0.004487534324258273
1981-11-19 14:10:35.810000+00:00,40.734,49.193,0.4692307692307692,0.4545454545454541,1.2,33.0,0.0439136887189907,0.133856648308757,1981,11,19,14,0.46383368863826024,0.4535107932826992,0.04724213488371263,0.13432926070148357
1981-11-29 23:37:32.640000+00:00,40.836,48.078,0.6492307692307694,0.545454545454545,1.1,42.0,0.0236675176896369,0.0463766675479583,1981,11,29,23,0.6568022250176556,0.5370623546777541,0.025499123325792978,0.04949759545262796
1981-12-02 00:51:36.350000+00:00,40.926,48.09,0.4692307692307692,0.545454545454545,1.2,45.0,0.0622807054724448,0.0091534727847324,1981,12,2,0,0.47197098945417776,0.5523262058621461,0.06323643437494804,0.009473841591054796
1981-12-04 02:35:36.750000+00:00,40.865,48.325,0.4692307692307692,0.1818181818181816,1.4,15.0,0.0627641417673866,0.0092462600154759,1981,12,4,2,0.47145591664622566,0.18755677757756686,0.06358030646146695,0.0071612180777372424
